description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",no,no,Weekly special,Vegan on request,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_wochenangebot.jpg
Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_essen-1.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_essen-3.jpg
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_wochenangebot.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-07-07/mensa-rempartstrae_wochenangebot.jpg
Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,no,no,Meal 1,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_essen-1.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_essen-3.jpg
Superfood salad with organic smoked tofu,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_schneller-teller.jpg
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",no,no,Weekly special,Vegan on request,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_wochenangebot.jpg
Soy gyros; tzatziki; vegetable rice; carrot coleslaw,no,no,Meal 1,Vegan on request,Mensa Rempartstrae,images/2025-07-05/mensa-rempartstrae_essen-1.jpg
Falafel with mango chutney; fried vegetable rice nasi goreng,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-07-04/mensa-flugplatz_essen-1.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-07-04/mensa-flugplatz_wochenangebot.jpg
Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-07-04/mensa-rempartstrae_essen-1.jpg
Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,no,no,Weekly special,Non-vegetarian,Mensa Rempartstrae,images/2025-07-04/mensa-rempartstrae_wochenangebot.jpg
Falafel with mango chutney; fried vegetable rice nasi goreng,no,no,Meal 1,Vegan,Mensa Institutsviertel,images/2025-07-04/mensa-institutsviertel_essen-1.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Institutsviertel,images/2025-07-04/mensa-institutsviertel_wochenangebot.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Littenweiler,images/2025-07-04/mensa-littenweiler_wochenangebot.jpg
Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_essen-1.jpg
Miso soup (vegetarian and with meat options); baguette,no,no,Meal 3,Vegan on request,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_essen-3.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_wochenangebot.jpg
Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,no,no,Meal 2,Vegetarian,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_essen-2.jpg
Mango‑wheat tabbouleh with herbs; harissa dip; baguette,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_schneller-teller.jpg
Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,no,no,Weekly special,Non-vegetarian,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_wochenangebot.jpg
Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-07-03/mensa-institutsviertel_essen-1.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Institutsviertel,images/2025-07-03/mensa-institutsviertel_wochenangebot.jpg
"Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_essen-1.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_essen-3.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_wochenangebot.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-1.jpg
Mini spring rolls; sweet‑and‑sour sauce; basmati rice,no,no,Meal 2,Vegan,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-2.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-3.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_wochenangebot.jpg
Zucchini‑ricotta balls; red pepper ragout; pasta risotto,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_essen-1.jpg
Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_essen-2.jpg
Vegan filet strips; hummus; vegetable salad; flatbread,no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_tagesgericht.jpg
Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,no,no,Weekly special,Non-vegetarian,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_wochenangebot.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-1.jpg
Mini spring rolls; sweet‑and‑sour sauce; basmati rice,no,no,Meal 2,Vegan,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-2.jpg
Miso soup (vegetarian or with meat); baguette,no,no,Meal 3,Vegan on request,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-3.jpg
Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_schneller-teller.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_wochenangebot.jpg
Potato pancakes with pea guacamole; herb yoghurt dip,no,no,Dinner 1,Vegetarian,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_abendessen-1.jpg
Spaghetti with wheat‑vegetable Bolognese,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_essen-1.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_essen-3.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_wochenangebot.jpg
Mixed salad plate; cream cheese spread; baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-1.jpg
Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-2.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-3.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_wochenangebot.jpg
"Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-07-01/mensa-rempartstrae_tagesgericht.jpg
Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,no,no,Weekly special,Non-vegetarian,Mensa Rempartstrae,images/2025-07-01/mensa-rempartstrae_wochenangebot.jpg
Mixed salad plate; cream cheese spread; baguette,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_essen-1.jpg
Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,no,no,Meal 2,Non-vegetarian,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_essen-2.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_essen-3.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_wochenangebot.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Littenweiler,images/2025-07-01/mensa-littenweiler_essen-3.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Littenweiler,images/2025-07-01/mensa-littenweiler_wochenangebot.jpg
Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,no,no,Meal 1,Vegan on request,Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_essen-1.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_essen-3.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_wochenangebot.jpg
Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_essen-1.jpg
"Mixed salad with tomato, mozzarella and basil; baguette",no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_tagesgericht.jpg
Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,no,no,Weekly special,Non-vegetarian,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_wochenangebot.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-06-30/mensa-institutsviertel_essen-3.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Institutsviertel,images/2025-06-30/mensa-institutsviertel_wochenangebot.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Littenweiler,images/2025-06-30/mensa-littenweiler_wochenangebot.jpg
Rice pudding with peach compote and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-06-27/mensa-flugplatz_essen-3.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Flugplatz,images/2025-06-27/mensa-flugplatz_wochenangebot.jpg
Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_essen-1.jpg
Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_schneller-teller.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_wochenangebot.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Institutsviertel,images/2025-06-27/mensa-institutsviertel_wochenangebot.jpg
Thick‑cut fries with surprise topping,no,no,Dinner 1,Vegetarian,Mensa Institutsviertel,images/2025-06-27/mensa-institutsviertel_abendessen-1.jpg
Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-1.jpg
Chicken burger; avocado dip; rissolé potatoes,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-2.jpg
Miso soup (vegetarian or with meat); baguette,no,no,Meal 3,Vegan on request,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-3.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_wochenangebot.jpg
Stuffed peppers; lattice potatoes; Spanish beans,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-26/mensa-rempartstrae_essen-1.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-06-26/mensa-rempartstrae_wochenangebot.jpg
Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_essen-1.jpg
Chicken burger; avocado dip; rissolé potatoes,no,no,Meal 2,Non-vegetarian,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_essen-2.jpg
Pancake with julienned vegetables; asparagus vegetable ragout,no,no,Quick plate,Vegetarian,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_schneller-teller.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_wochenangebot.jpg
Potato pancakes with apple sauce,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-1.jpg
Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-2.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-3.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_wochenangebot.jpg
Vegetable lasagne with olives and sheep’s cheese; pesto,no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-06-25/mensa-rempartstrae_tagesgericht.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-06-25/mensa-rempartstrae_wochenangebot.jpg
Potato pancakes with apple sauce,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_essen-1.jpg
Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,no,no,Meal 2,Vegetarian,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_essen-2.jpg
Miso soup (vegetarian or with meat); baguette,no,no,Meal 3,Vegan on request,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_essen-3.jpg
Aglio spaghetti with sun‑dried tomatoes,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_schneller-teller.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_wochenangebot.jpg
Spaghetti with vegetable Bolognese; pesto; grated hard cheese,no,no,Meal 1,Vegan on request,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-1.jpg
Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-2.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-3.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_wochenangebot.jpg
Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-24/mensa-rempartstrae_essen-1.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-06-24/mensa-rempartstrae_wochenangebot.jpg
Spaghetti with vegetable Bolognese; pesto; grated hard cheese,no,no,Meal 1,Vegan on request,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_essen-1.jpg
Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,no,no,Meal 2,Non-vegetarian,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_essen-2.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_essen-3.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_wochenangebot.jpg
"Hamburger TS with beef, cheese, tomato, lettuce; French fries",no,no,Dinner 2,Non-vegetarian,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_abendessen-2.jpg
Italian pasta bake with vegetables; tomato sauce; herb pesto,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_essen-1.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_essen-3.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_wochenangebot.jpg
Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_essen-1.jpg
Spaghetti Bolognese with organic beef; grated hard cheese,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_essen-2.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_wochenangebot.jpg
Italian pasta bake with vegetables; tomato sauce; herb pesto,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-06-23/mensa-institutsviertel_essen-1.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-06-23/mensa-institutsviertel_essen-3.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Institutsviertel,images/2025-06-23/mensa-institutsviertel_wochenangebot.jpg
Texas skillet with soy strips and red beans; paprika dip; country potatoes,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-21/mensa-rempartstrae_essen-1.jpg
Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-06-21/mensa-rempartstrae_essen-2.jpg
"Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_essen-1.jpg
Rice pudding with pear compote and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_essen-3.jpg
Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_wochenangebot.jpg
Thai curry with vegetables and soy; basmati rice; peanuts,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_essen-1.jpg
"Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_tagesgericht.jpg
"Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_wochenangebot.jpg
"Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",no,no,Meal 1,Vegan,Mensa Institutsviertel,images/2025-06-20/mensa-institutsviertel_essen-1.jpg
Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,no,no,Weekly special,Vegan on request,Mensa Institutsviertel,images/2025-06-20/mensa-institutsviertel_wochenangebot.jpg
Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,no,no,Weekly special,Vegan on request,Mensa Littenweiler,images/2025-06-20/mensa-littenweiler_wochenangebot.jpg
"Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-18/mensa-flugplatz_essen-1.jpg
Texas skillet with soy strips and red beans; paprika dip; country potatoes,no,no,Meal 2,Vegan,Mensa Flugplatz,images/2025-06-18/mensa-flugplatz_essen-2.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-18/mensa-flugplatz_essen-3.jpg
Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-06-18/mensa-flugplatz_wochenangebot.jpg
"Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-06-18/mensa-rempartstrae_wochenangebot.jpg
"Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-06-18/mensa-institutsviertel_essen-1.jpg
Miso soup (vegetarian or with meat); baguette,no,no,Meal 3,Vegan on request,Mensa Institutsviertel,images/2025-06-18/mensa-institutsviertel_essen-3.jpg
Aglio spaghetti with sun‑dried tomatoes,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-06-18/mensa-institutsviertel_schneller-teller.jpg
Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,no,no,Weekly special,Vegan on request,Mensa Institutsviertel,images/2025-06-18/mensa-institutsviertel_wochenangebot.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Littenweiler,images/2025-06-18/mensa-littenweiler_essen-3.jpg
